year,state_po,county
2016,ID,Twin Falls
2016,ID,Valley
2016,ID,Washington
2016,IL,Adams
2016,IL,Alexander
2016,IL,Bond
2016,IL,Boone
2016,IL,Brown
2016,IL,Bureau
2016,IL,Calhoun
2016,IL,Carroll
2016,IL,Cass
2016,IL,Champaign
2016,IL,Christian
2016,IL,Clark
2016,IL,Clay
2016,IL,Clinton
2016,IL,Coles
2016,IL,Cook
2016,IL,Crawford
2016,IL,Cumberland
2016,IL,DeKalb
2016,IL,De Witt
2016,IL,Douglas
2016,IL,DuPage
2016,IL,Edgar
2016,IL,Edwards
2016,IL,Effingham
2016,IL,Fayette
2016,IL,Ford
2016,IL,Franklin
2016,IL,Fulton
2016,IL,Gallatin
2016,IL,Greene
2016,IL,Grundy
2016,IL,Hamilton
2016,IL,Hancock
2016,IL,Hardin
2016,IL,Henderson
2016,IL,Henry
2016,IL,Iroquois
2016,IL,Jackson
2016,IL,Jasper
2016,IL,Jefferson
2016,IL,Jersey
2016,IL,Jo Daviess
2016,IL,Johnson
2016,IL,Kane
2016,IL,Kankakee
2016,IL,Kendall
2016,IL,Knox
2016,IL,Lake
2016,IL,LaSalle
2016,IL,Lawrence
2016,IL,Lee
2016,IL,Livingston
2016,IL,Logan
2016,IL,McDonough
2016,IL,McHenry
2016,IL,McLean
2016,IL,Macon
2016,IL,Macoupin
2016,IL,Madison
2016,IL,Marion
2016,IL,Marshall
2016,IL,Mason
2016,IL,Massac
2016,IL,Menard
2016,IL,Mercer
2016,IL,Monroe
2016,IL,Montgomery
2016,IL,Morgan
2016,IL,Moultrie
2016,IL,Ogle
2016,IL,Peoria
2016,IL,Perry
2016,IL,Piatt
2016,IL,Pike
2016,IL,Pope
2016,IL,Pulaski
2016,IL,Putnam
2016,IL,Randolph
2016,IL,Richland
2016,IL,Rock Island
2016,IL,St. Clair
2016,IL,Saline
2016,IL,Sangamon
2016,IL,Schuyler
2016,IL,Scott
2016,IL,Shelby
2016,IL,Stark
2016,IL,Stephenson
2016,IL,Tazewell
2016,IL,Union
2016,IL,Vermilion
2016,IL,Wabash
2016,IL,Warren
2016,IL,Washington
2016,IL,Wayne
2016,IL,White
2016,IL,Whiteside
2016,IL,Will
2016,IL,Williamson
2016,IL,Winnebago
2016,IL,Woodford
2016,IN,Adams
2016,IN,Allen
2016,IN,Bartholomew
2016,IN,Benton
2016,IN,Blackford
2016,IN,Boone
2016,IN,Brown
2016,IN,Carroll
2016,IN,Cass
2016,IN,Clark
2016,IN,Clay
2016,IN,Clinton
2016,IN,Crawford
2016,IN,Daviess
2016,IN,Dearborn
2016,IN,Decatur
2016,IN,DeKalb
2016,IN,Delaware
2016,IN,Dubois
2016,IN,Elkhart
2016,IN,Fayette
2016,IN,Floyd
2016,IN,Fountain
2016,IN,Franklin
2016,IN,Fulton
2016,IN,Gibson
2016,IN,Grant
2016,IN,Greene
2016,IN,Hamilton
2016,IN,Hancock
2016,IN,Harrison
2016,IN,Hendricks
2016,IN,Henry
2016,IN,Howard
2016,IN,Huntington
2016,IN,Jackson
2016,IN,Jasper
2016,IN,Jay
2016,IN,Jefferson
2016,IN,Jennings
2016,IN,Johnson
2016,IN,Knox
2016,IN,Kosciusko
2016,IN,LaGrange
